language,cnt,freq
React,264,0.3393316195372751
Vue.js,119,0.15295629820051415
Next.js,85,0.10925449871465295
Node.js,66,0.08483290488431877
Angular / Angular.js,53,0.06812339331619537
jQuery,38,0.04884318766066838
Nuxt.js,35,0.04498714652956298
WordPress,23,0.02956298200514139
Express,17,0.021850899742930592
Shopify,15,0.019280205655526992
