names,values,values_1,values_2,values_3
Backend,0.4250493096646943,0.4001967950520101,0.4084373518723337,0.40525783619817995
Frontend,0.20488165680473372,0.228844531908912,0.2208879759835677,0.22669362992922143
Full Stack,0.23545364891518739,0.228844531908912,0.19023542423763629,0.2135490394337715
Mobile,0.09923570019723865,0.09347764970480742,0.09985779744035393,0.09565217391304348
Other,0.03537968441814596,0.04863649142535845,0.08058145046610839,0.05884732052578362
