language,cnt,freq
Web,5716,0.5340558721853685
Desktop,1239,0.1157619359058208
Mobile Android,955,0.08922731944314678
Mobile cross-platform,901,0.0841820050453144
Mobile iOS,890,0.08315425581612632
Microcontrollers / Embedded / IoT,316,0.029524432402130246
Other,168,0.015696533682145193
Mobile other,118,0.011024946276744838
Smart TV,63,0.005886200130804447
Game Consoles,62,0.00579276838269644
Cloud,14,0.0013080444735120995
