language,cnt,freq
Java,103,0.25183374083129584
Swift,48,0.11735941320293398
Objective-C,43,0.10513447432762836
Kotlin,43,0.10513447432762836
JavaScript,42,0.10268948655256724
TypeScript,22,0.05378973105134474
Python,20,0.0488997555012225
Dart,19,0.04645476772616137
Ruby,17,0.04156479217603912
DB,13,0.03178484107579462
Groovy,11,0.02689486552567237
C++,10,0.02444987775061125
C,3,0.007334963325183374
C#,3,0.007334963325183374
Go,3,0.007334963325183374
Lua,1,0.0024449877750611247
batch,1,0.0024449877750611247
Terraform,1,0.0024449877750611247
shell,1,0.0024449877750611247
Shell,1,0.0024449877750611247
