language,cnt,freq
Kotlin,163,0.31467181467181465
Swift,134,0.25868725868725867
Dart,74,0.14285714285714285
TypeScript,38,0.07335907335907337
Python,23,0.0444015444015444
JavaScript,20,0.03861003861003861
Go,14,0.02702702702702703
C#,13,0.025096525096525095
Rust,10,0.019305019305019305
C++,9,0.017374517374517374
