"","x"
"0",0.0331962397179788
"1",0.136750881316099
"2",0.126762632197415
"3",0.123090481786134
"4",0.0890129259694477
"5",0.101057579318449
"6",0.0578730904817861
"7",0.0461222091656874
"8",0.0484723854289072
"9",0.0236486486486486
"10",0.0543478260869565
"11",0.013219741480611
"12",0.0218860164512338
"13",0.0152761457109283
"14",0.0124853113983549
"15",0.0286427732079906
"16",0.00807873090481786
"17",0.00646298472385429
"18",0.00646298472385429
"19",0.00176263219741481
"20",0.0205640423031727
"21",0.00337837837837838
"22",0.00264394829612221
"23",0.00205640423031727
"24",0.00146886016451234
"25",0.00455346650998825
"26",0.00146886016451234
"27",0.000293772032902468
"28",0.000440658049353702
"29",0.000881316098707403
"30",0.00425969447708578
"32",0.000734430082256169
"35",0.000734430082256169
"37",0.000440658049353702
"40",0.000293772032902468
"42",0.000146886016451234
"45",0.000293772032902468
"77",0.000146886016451234
"99",0.000146886016451234
"100",0.000146886016451234
"500",0.000146886016451234
"2019",0.000146886016451234
