"","x"
"16",0.000880152559777028
"17",0.00264045767933108
"18",0.011148599090509
"19",0.0228839665542027
"20",0.0338858735514156
"21",0.0407804019363356
"22",0.047968314507848
"23",0.0553029191726566
"24",0.0541293824262872
"25",0.0541293824262872
"26",0.0485550828810327
"27",0.0553029191726566
"28",0.0544227666128796
"29",0.0473815461346633
"30",0.0575033005720992
"31",0.0494352354408097
"32",0.0542760745195834
"33",0.0447410884553323
"34",0.0382866363503007
"35",0.0382866363503007
"36",0.029925187032419
"37",0.0283115740061611
"38",0.0250843479536453
"39",0.0159894381692827
"40",0.0186298958486138
"41",0.0101217544374358
"42",0.0121754437435822
"43",0.00777468094469708
"44",0.00674783629162388
"45",0.00865483350447411
"46",0.0041073786122928
"47",0.00440076279888514
"48",0.00293384186592343
"49",0.00234707349273874
"50",0.00293384186592343
"51",0.00117353674636937
"52",0.0010268446530732
"53",0.000586768373184685
"54",0.000586768373184685
"55",0.00146692093296171
"56",0.000146692093296171
"57",0.000733460466480857
"58",0.000146692093296171
"60",0.000586768373184685
"61",0.000146692093296171
"62",0.000293384186592343
"67",0.000293384186592343
"69",0.000293384186592343
"71",0.000146692093296171
"78",0.000146692093296171
"89",0.000146692093296171
