"","Так","Ні"
"Бекенд програмування",0.517666516313336,0.553246753246753
"Веб-фронтенд",0.193955796120884,0.119480519480519
"Десктоп-розробка",0.0436024657946174,0.0337662337662338
"Мобільна розробка",0.0854006916253195,0.0701298701298701
"Обробка масивів даних",0.0590888588182228,0.0701298701298701
