"","x"
"Бекенд програмування",3712
"Веб-фронтенд",1370
"Мобільна розробка",605
"Обробка масивів даних",428
"Десктоп-розробка",308
"Системне програмування",194
"QA",133
"Full Stack",84
"IoT",80
"GameDev",49
"Embedded",23
"DevOps",20
"(Other)",70
