language,freq2023,freq2024,freq2025
Swift,0.27344992050874406,0.2959830866807611,0.3177570093457944
Kotlin,0.37360890302066774,0.38054968287526425,0.31542056074766356
Dart,0.13036565977742448,0.15644820295983086,0.19626168224299065
TypeScript,0.06518282988871224,0.06342494714587738,0.0911214953271028
JavaScript,0.012718600953895072,0.046511627906976744,0.030373831775700934
C#,0.11764705882352941,0.03171247357293869,0.030373831775700934
C++,0.006359300476947536,0.006342494714587738,0.004672897196261682
Java,0.00794912559618442,0.006342494714587738,0.004672897196261682
Objective-C,0.00794912559618442,0.004228329809725159,0.004672897196261682
Python,0.003179650238473768,0.0,0.004672897196261682
