language,cnt,freq
TypeScript,1217,0.26859412933127347
JavaScript,638,0.14080776870448025
Python,635,0.14014566320900462
Java,556,0.1227102184948135
C#,516,0.11388214522180534
PHP,364,0.08033546678437431
DB,219,0.04833370116971971
Go,86,0.018980357536967557
Ruby,80,0.01765614654601633
Bash / Shell,53,0.01169719708673582
