Employment,Backend,Frontend,Full Stack,Mobile,Desktop,Embedded,QA,DevOps,DS/ML/AI,Analyst
IT,27.311548458967692,16.74712216858522,16.691422205718528,7.370961752692165,1.578165614556257,1.1696992202005199,14.444857036761977,5.737096175269216,5.32862978091348,3.6204975863349427
GameDev,0.0,0.0,0.0,0.0,0.0,0.0,35.294117647058826,32.35294117647059,2.941176470588235,29.411764705882355
DefTech,15.714285714285714,2.857142857142857,8.571428571428571,1.4285714285714286,10.0,27.142857142857142,7.142857142857142,7.142857142857142,15.714285714285714,4.285714285714286
Non-IT,6.315789473684211,2.1052631578947367,5.263157894736842,3.1578947368421053,3.1578947368421053,2.1052631578947367,2.1052631578947367,3.1578947368421053,11.578947368421053,61.05263157894737
Втратив роботу,18.75,31.25,12.5,14.583333333333334,2.083333333333333,0.6944444444444444,9.027777777777777,1.3888888888888888,3.4722222222222223,6.25
Військова служба,26.31578947368421,21.052631578947366,21.052631578947366,5.263157894736842,0.0,5.263157894736842,0.0,10.526315789473683,10.526315789473683,0.0
