Employment,SE,QA,DevOps/SRE,DS/ML/AI,Analyst,Other
IT,68.08755760368663,12.804476629361423,5.085582620144832,4.723502304147465,3.2093482554312045,6.089532587228439
GameDev,63.5,6.0,5.5,0.5,5.0,19.5
DefTech,51.515151515151516,5.05050505050505,5.05050505050505,11.11111111111111,3.0303030303030303,24.242424242424242
Non-IT,18.79194630872483,1.342281879194631,2.013422818791946,7.38255033557047,38.92617449664429,31.543624161073826
Втратив роботу,72.39263803680981,7.975460122699387,1.2269938650306749,3.067484662576687,5.521472392638037,9.815950920245399
Військова служба,68.0,0.0,8.0,8.0,0.0,16.0
