language,cnt,freq
DB,1538,0.19675067161315082
JavaScript,1522,0.19470385058206474
Python,1091,0.13956760905718307
TypeScript,822,0.1051554304720481
Bash / Shell,555,0.0709991045157989
Java,313,0.040040936420621724
Go,217,0.027760010234105157
C#,213,0.027248304976333633
PHP,212,0.02712037866189075
PowerShell,164,0.02097991556863247
Groovy,159,0.020340283996418063
C++,156,0.01995650505308942
Kotlin,145,0.01854931559421773
C,102,0.013048484073173851
Swift,98,0.012536778815402327
Ruby,57,0.007291799923244211
Objective-C,55,0.00703594729435845
Rust,48,0.0061404630932582836
Dart,39,0.004989126263272355
Lua,37,0.004733273634386593
