language,freq2021,freq2022,freq2023
Swift,0.3814147018030513,0.2540272614622057,0.2236503856041131
C#,0.10540915395284327,0.1288723667905824,0.14781491002570693
Python,0.0651872399445215,0.10285006195786865,0.13624678663239073
Java,0.0638002773925104,0.11524163568773234,0.09254498714652956
TypeScript,0.05409153952843273,0.07806691449814127,0.08868894601542417
JavaScript,0.09015256588072122,0.12763320941759604,0.08354755784061697
DB,0.015256588072122053,0.03717472118959108,0.05141388174807198
Dart,0.04160887656033287,0.0322180916976456,0.032133676092544985
PHP,0.05409153952843273,0.02973977695167286,0.030848329048843187
Kotlin,0.019417475728155338,0.022304832713754646,0.02699228791773779
