nYears,cnt
0.25,162.0
0.5,278.0
1.0,396.0
1.5,420.0
2.0,993.0
3.0,1209.0
4.0,876.0
5.0,886.0
6.0,700.0
7.0,565.0
8.0,404.0
9.0,217.0
10.0,352.0
11.0,166.0
12.0,169.0
13.0,87.0
14.0,48.0
15.0,336.0
