nYears,All,C,C++,Rust
0.25,1.9603097773475315,0,1.937984496124031,10.526315789473683
0.5,3.3639883833494677,0,3.488372093023256,0
1.0,4.791868344627299,3.508771929824561,6.976744186046512,7.894736842105263
1.5,5.082284607938044,7.017543859649122,5.813953488372093,10.526315789473683
2.0,12.015972894482092,8.771929824561402,9.30232558139535,13.157894736842104
3.0,14.629719264278801,12.280701754385964,13.953488372093023,15.789473684210526
4.0,10.600193610842206,10.526315789473683,6.976744186046512,10.526315789473683
5.0,10.721200387221684,8.771929824561402,10.852713178294573,0
6.0,8.470474346563407,10.526315789473683,7.3643410852713185,5.263157894736842
7.0,6.836882865440465,10.526315789473683,4.651162790697675,0
8.0,4.888673765730881,7.017543859649122,4.651162790697675,0
9.0,2.6258470474346565,1.7543859649122806,1.550387596899225,5.263157894736842
10.0,4.259438528557599,1.7543859649122806,5.038759689922481,5.263157894736842
11.0,2.0087124878993223,1.7543859649122806,2.7131782945736433,0
12.0,2.045014520813165,3.508771929824561,3.10077519379845,0
13.0,1.052758954501452,1.7543859649122806,1.550387596899225,0
14.0,0.5808325266214909,0,0.7751937984496124,0
15.0,4.065827686350436,10.526315789473683,9.30232558139535,15.789473684210526
