language,freq2021,freq2022,freq2023
Backend,0.40727616347743917,0.3729368614094839,0.3835311572700297
Frontend,0.19631467044649184,0.2132564841498559,0.20741839762611275
Full Stack,0.2256083156154028,0.2132564841498559,0.17863501483679525
Mobile,0.09508622726198913,0.08711029604401363,0.09376854599406528
Data Analysis,0.05386250885896527,0.07309405292114225,0.07418397626112759
DevOps,0.02185211433971179,0.040345821325648415,0.062462908011869434
