"","Kotlin","Groovy","Apex","JavaScript","Python","TypeScript","Swift","Go","Scala","Java","C#","C++","Ruby","Erlang","R","PHP","C","T-SQL","Objective-C","1C","Pascal/Delphi","PL-SQL"
"lower whisker",0,0.5,0.5,0,0,0.3,0,0.5,0.5,0,0,0,0,1,0,0,0,0,0.5,0,0,1
"lower hinge",2,1,1.5,1,1,2,2,2,3,2,2,1,2,2,2,2,1.5,2,2,4,3,4
"median",3,3,3,3,3,3,3,5,7,3,4,4,4,4,2,4,4,6,5,8,10,10
"upper hinge",5,6,5,5,5,6,5,8,10,6,8,8,8,9.5,5,8,10,11.5,10,15,15,18
"upper whisker",9,12,9,11,11,12,9,17,20,12,17,18,16,18,5,17,20,25,20,25,23,38
