"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","30"
"0",188,117,56,16,5,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1",76,1096,172,78,15,9,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",30,338,786,86,23,14,2,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"3",13,180,275,566,31,23,7,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,65,98,155,293,15,4,3,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5",5,46,95,132,94,282,2,8,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",4,20,34,50,51,70,194,5,2,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"7",2,24,27,42,34,51,27,134,3,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"8",1,15,25,39,19,40,35,22,118,1,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1,7,13,7,8,18,11,12,15,38,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",0,12,25,39,30,45,25,29,47,12,121,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,5,7,9,7,17,7,10,11,7,14,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",0,8,6,7,11,16,14,13,18,6,30,1,44,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"13",0,5,1,6,4,6,4,4,5,4,14,6,4,16,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",0,2,5,3,4,7,1,1,3,5,6,2,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15",0,8,9,10,7,18,8,11,7,3,46,1,13,8,5,45,0,1,2,0,0,0,0,0,0,0,0,0,0
"16",0,1,6,2,2,1,2,2,3,0,3,2,5,2,0,4,8,0,0,0,0,0,0,0,0,0,0,0,0
"17",0,1,2,3,0,5,3,1,1,1,8,0,3,3,0,10,2,9,0,1,1,0,0,0,0,1,0,0,0
"18",0,2,6,2,4,2,2,3,0,0,6,1,1,0,5,5,1,2,4,0,0,0,0,0,0,0,0,0,0
"19",0,2,1,4,3,2,2,2,1,1,2,1,2,0,0,2,1,2,1,3,0,0,0,0,0,0,0,0,0
"20",1,5,4,4,6,9,2,1,5,2,21,1,5,1,0,12,0,2,5,5,10,0,0,0,0,0,0,0,0
"21",0,1,0,1,0,2,1,0,0,0,2,0,1,0,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0
"22",0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,5,0,4,0,2,1,0,0,0,0,0
"23",0,0,1,1,0,3,0,1,1,0,3,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0
"24",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
