"","<1","1","2","3","4","5","6","7","8","9","10+"
"2014-01",747,520,771,684,441,546,373,373,320,197,1091
"2015-01",819,499,725,782,527,485,265,370,304,177,952
"2016-01",1008,550,717,706,513,447,224,193,218,162,877
"2017-01",1364,849,1034,799,558,686,356,259,231,212,1430
"2018-01",961,728,1074,742,496,608,344,295,211,176,1366
"2019-01",393,1461,1292,1104,645,670,434,355,322,132,1452
"2020-01",459,1696,1410,1145,787,761,402,366,325,168,1704
"2021-01",226,931,863,838,606,688,394,314,330,161,1457
"2022-01",664,1010,809,1128,881,1012,702,512,384,320,1692
