"","TypeScript","C#","JavaScript","Java","Python","PHP","Go","Kotlin","Swift","C++","Ruby","Dart","Rust","Scala","C","Salesforce Apex"
"2013-01",0,0.2143906020558,0.0572687224669604,0.243171806167401,0.103083700440529,0.0972099853157122,0.000881057268722467,0,0,0.0751835535976505,0.0555066079295154,0,0,0.0317180616740088,0.0105726872246696,0
"2014-01",0,0.190033222591362,0.0749169435215947,0.246843853820598,0.0993355481727575,0.0960132890365449,0.00299003322259136,0,0,0.0757475083056478,0.0528239202657807,0,0,0.0383720930232558,0.00980066445182724,0
"2015-01",0.000706713780918728,0.167491166077739,0.113427561837456,0.218551236749117,0.109010600706714,0.0902826855123675,0.0148409893992933,0.00141342756183746,0.0210247349823322,0.0609540636042403,0.0591872791519435,0,0.00530035335689046,0.0424028268551237,0.00865724381625442,0
"2016-01",0.00162839928350432,0.154046572219508,0.141996417521576,0.263312164142648,0.105194593714379,0.08679368181078,0.0198664712587526,0.00162839928350432,0.0322423058133854,0.0512945774303859,0.0451066601530695,0,0.00293111871030777,0.0341963849535906,0.0056993974922651,0
"2017-01",0.00430769230769231,0.155815384615385,0.149538461538462,0.233476923076923,0.106584615384615,0.0926769230769231,0.0315076923076923,0.008,0.0429538461538462,0.0497230769230769,0.0336,0,0.00344615384615385,0.0323692307692308,0.00553846153846154,0
"2018-01",0.0371882747557241,0.138836225754703,0.144232171503573,0.184337173691119,0.120460842934228,0.0885226775557824,0.0549803120898352,0.039084147586408,0.0500218754557387,0.0453551115648243,0.025375528656847,0,0.00554178212046084,0.0274172378591221,0.00568761849205192,0
"2019-01",0.0516844068912543,0.141226818830243,0.149895753319434,0.163722155162954,0.132887084384945,0.0790080105344014,0.0514649401953254,0.0442225392296719,0.0359925381323384,0.0558542741139032,0.0232634697684626,0.00274333369911116,0.00932733457697794,0.0218369362449248,0.00680346757379568,0
"2020-01",0.0791077145512754,0.14169162449654,0.140968708045027,0.138903232469276,0.162656201590416,0.0734276567179593,0.0436848084271403,0.0461633791180419,0.0314985025302076,0.0498812351543943,0.0200351130847878,0.00733243829391717,0.0104306516575442,0.0155943405969224,0.00691934317876691,0
"2021-01",0.113086770981508,0.141251778093883,0.129018492176387,0.132574679943101,0.137553342816501,0.0745376955903272,0.0513513513513514,0.0413940256045519,0.032574679943101,0.040398293029872,0.0241820768136558,0.0126600284495021,0.0140825035561878,0.0217638691322902,0.0058321479374111,0
"2022-01",0.156862745098039,0.146040234275528,0.124777183600713,0.117519735166794,0.106824548001019,0.071301247771836,0.071301247771836,0.0495289024700789,0.0360325948561243,0.0282658517952636,0.0175706646294882,0.0170613700025465,0.0165520753756048,0.0148968678380443,0.00636618283677107,0.00483829895594601
